"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10"
0.151227293785453,0.188194993541515,0.111346925485789,0.162972455609789,0.358077502155765,0.236547468414651,0.336088568013135,0.40723497564462,0.185289395781473,0.151628753129578
0.151227293785451,0.204159844618038,0.149642102212353,0.262358414278404,0.371399754361519,0.398718415042659,0.125287729134293,0.266102557430284,0.175732574435895,0.105471314981249
0.151227293785453,0.245625301906254,0.209438599901894,0.379298897702866,0.280620770692517,0.336275323720469,0.347942284320383,0.111599955593028,0.159691641827088,0.122825412037846
0.151227293785452,0.154813538857864,0.310960834502881,0.24494253825362,0.387776352561367,0.353297119752282,0.330331705634828,0.310239386820124,0.054086657303783,0.144697330175276
0.151227293785452,0.25843470201565,0.173896623445425,0.189425259691463,0.296284266417354,0.252888636311164,0.327208340360783,0.244972826642006,0.144441287707372,0.102797356578639
0.151227293785452,0.156062259649479,0.24955054965318,0.200192377713386,0.0796114653516825,0.338404296866596,0.142774836129384,0.331096000880384,0.175337207064641,0.220757588824188
0.151227293785451,0.208770853679223,0.177105471039131,0.35409330043645,0.140109077832174,0.397637255297467,0.323215871084907,0.339759367228635,0.169206393227378,0.133722925204722
0.151227293785452,0.150726087465684,0.134422258531077,0.265630909305193,0.207263431370526,0.402415928283924,0.349821020420903,0.397916232949583,0.201453915110327,0.13016821945941
0.151227293785451,0.14910512394336,0.190461881132503,0.183621874898152,0.376401122787094,0.311442525555506,0.336787160645674,0.312968515377715,0.0857666064028631,0.189044073492775
0.151227293785453,0.221786403020255,0.168270290574659,0.191892654347941,0.308611817235821,0.157602141716367,0.398831161501408,0.304154407736866,0.183443315845747,0.152409501238427
0.151227293785452,0.191060930051629,0.294488989918688,0.273211902914726,0.263437156461914,0.353303276154554,0.369790546317962,0.286353057455024,0.0209181630542677,0.148389419762523
0.151227293785452,0.163245994338949,0.312180704955927,0.286918593952667,0.371927786057643,0.312580669850766,0.241415308618779,0.352211015573237,0.185110193935957,0.104886286790176
0.151227293785453,0.251758376069798,0.218062706310828,0.121541416680466,0.369278292697934,0.328930143458651,0.230796490965377,0.270331793921988,0.193802506613564,0.124954599118611
0.151227293785451,0.222179538557089,0.358824034539098,0.185336407512103,0.366551770370768,0.382802327851378,0.131630318005408,0.312509190683781,0.196955708382903,0.108958177233286
0.151227293785453,0.228758036567421,0.208613903699036,0.190174109093923,0.338207623368044,0.190808837093604,0.204628490425731,0.177612108600597,0.149255410393544,0.119892447121657
0.151227293785453,0.178165531189848,0.336631410982992,0.27702985676832,0.298771830496826,0.295200717724698,0.347916455991205,0.291528138605406,0.168024809817927,0.130627008427842
0.151227293785451,0.200796294658762,0.285091131409898,0.232495843126848,0.288090877547391,0.404491148569963,0.331263149931383,0.222198853581437,0.204826546475328,0.0798944151697188
0.151227293785453,0.23722286671465,0.161641831692808,0.276748432101336,0.382340664115585,0.32726287174187,0.164620237975333,0.206186671540428,0.119998092621267,0.1363941494154
0.151227293785452,0.170765772199326,0.159352025132876,0.280615095716223,0.286736820282663,0.382766057094455,0.173396683418532,0.328782152734025,0.202823172696791,0.0674667413524094
0.151227293785453,0.163452882857515,0.161459225769881,0.25341036361042,0.262578376512066,0.346694354719938,0.298149403224107,0.401916026227898,0.164485033459909,0.150035322419308
